Nome,Quantità,Componente
"U1",1," Arduino Uno R3"
"D1",1,"Rosso LED"
"PIR1",1,"-10.244234783466169 , -246.88162673979394 , -246.88162673979394  Sensore PIR"
"PIEZO1",1," Piezo"
"R1",1,"220 Ω Resistenza"
